male with burkitt's	36	3.5679
man with burkitt's	33	3.2706
	26	2.5768
old man with	19	1.8831
no evidence of	15	1.4866
old woman with	15	1.4866
medical condition:56m w/burkitts	12	1.1893
reportindication: history of	10	0.9911
man with resected	9	0.8920
with large papillary	9	0.8920
or evidence of	9	0.8920
with history of	9	0.8920
woman with cutaneous	9	0.8920
woman with metastatic	8	0.7929
man with widely	8	0.7929
process such as	8	0.7929
large b cell	7	0.6938
man with metastatic	6	0.5946
to liver (	6	0.5946
radiation changes s/p	6	0.5946
anaplastic large cell	6	0.5946
9497**]ct pelvis w/contrastreason:	6	0.5946
56-year-old man with	5	0.4955
a history of	5	0.4955
are concerning for	5	0.4955
with diagnosis of	5	0.4955
in relation with	5	0.4955
malignancy such as	4	0.3964
with non-small cell	4	0.3964
extension strongly suggests	4	0.3964
77-year-old man with	4	0.3964
man with burkitt	4	0.3964
is concerning for	4	0.3964
contrastreason: eval for	4	0.3964
female with burkitt's	4	0.3964
most consistent with	4	0.3964
appearances consistent with	4	0.3964
consistent with known	4	0.3964
and fungal infection.	4	0.3964
woman with ho	4	0.3964
no evidence for	4	0.3964
old f with	4	0.3964
man with cad/	4	0.3964
post resection of	4	0.3964
icb and hx	4	0.3964
hiv, arf and	4	0.3964
suggest transitional or	4	0.3964
yrs ago for	4	0.3964
to evaluate for	4	0.3964
hepatosplenomegaly, diffuse lymphadenopathy.	4	0.3964
with hiv, hodgkins	4	0.3964
patient's history of	4	0.3964
___________________________________________________________________final reporthistory: metastatic	4	0.3964
rheumatologic flare vs.	4	0.3964
smaller, butconcerning for	4	0.3964
pain. history of	4	0.3964
nodule,sholder mass, ?	4	0.3964
55-year-old woman with	3	0.2973
extremity edema, metastatic	3	0.2973
alsoother intra-abd tumors/	3	0.2973
radiculopathyadmitting diagnosis: burkitt's	3	0.2973
__________________________________________________________________final reportclinical indication:	3	0.2973
the history or	3	0.2973
pulmonarynodules, suspicious for	3	0.2973
man with met	3	0.2973
the liver.possibilities include	3	0.2973
male with burkitts	3	0.2973
man with burkitts	3	0.2973
risk factors for	3	0.2973
other intraabdominal or	3	0.2973
this likely represents	3	0.2973
reportindication: large b-cell	3	0.2973
all concerning for	3	0.2973
neurology secondary to	3	0.2973
man with new	3	0.2973
____________________________________________________________________final report (revised)history:	3	0.2973
hx of burkitt's	3	0.2973
assess for possible	3	0.2973
is nospinal stenosis.impression:	3	0.2973
unkown primary with	3	0.2973
of liverlesions, question	3	0.2973
for evaluation for	3	0.2973
development of multiple	3	0.2973
examination:newly dx'd met	3	0.2973
a large cystic	3	0.2973
