ptxreason for	22	3.1930
pneumonia______________________________________________________________________________underlying m	13	1.8868
hcv please	12	1.7417
.reason for	11	1.5965
in the	10	1.4514
fever.pain.?perinephric abscessadmitting	8	1.1611
collections/pancreatic pseudocysts_________________________________________________________________	8	1.1611
collections.reason for	8	1.1611
fevers.reason for	7	1.0160
urinary tract	7	1.0160
admitted with	7	1.0160
pnacreatits or	6	0.8708
ulcers, elevated	6	0.8708
ptx, nowchest	6	0.8708
of the	6	0.8708
. no	6	0.8708
. there	5	0.7257
.	5	0.7257
hcv. please	5	0.7257
feversand large	5	0.7257
or new	5	0.7257
elsewhere.	4	0.5806
of ptxadmitting	4	0.5806
episodes of	4	0.5806
.comparison: [**3015-1-15**].technique:	4	0.5806
of ptx______________________________________________________________________________final	4	0.5806
.technique: ct	4	0.5806
fluid collectionsfield	4	0.5806
hcv h/o	4	0.5806
admissions for	4	0.5806
or metastaticdisease.2)	4	0.5806
. the	4	0.5806
or abnormal	4	0.5806
.2) slight	4	0.5806
descending aortic	4	0.5806
.comparisons: ct	4	0.5806
ptx,now with	4	0.5806
bacteremia. question	3	0.4354
pancreatitis orpseudocyst.technique;	3	0.4354
ulcers and	3	0.4354
pneumonia______________________________________________________________________________final report	3	0.4354
ptx______________________________________________________________________________final reporthistor	3	0.4354
bacteremia andelevated	3	0.4354
bacteremia nowwith	3	0.4354
partial small	3	0.4354
. please	3	0.4354
utis (straight	3	0.4354
.______________________________________________________________________________final reportct	3	0.4354
uti, overactive	3	0.4354
of a	3	0.4354
.comparison made	3	0.4354
.2) stable	3	0.4354
or residual	3	0.4354
within the	3	0.4354
.4. stable	3	0.4354
l pleural	3	0.4354
fever after	3	0.4354
nsc ca,	3	0.4354
fever and	3	0.4354
admissions of	3	0.4354
bacteremia (mssa),	3	0.4354
.______________________________________________________________________________final report(cont)the	3	0.4354
uti.mri of	3	0.4354
psbo resolved	3	0.4354
.______________________________________________________________________________underlying medical	3	0.4354
szreason for	2	0.2903
with numerous	2	0.2903
.technique: t1	2	0.2903
right pleural	2	0.2903
ptadmitting diagnosis:	2	0.2903
pneumothorax with	2	0.2903
. this	2	0.2903
of fluid	2	0.2903
line sepsis.reason	2	0.2903
lower lobe	2	0.2903
pleural effusions	2	0.2903
pneumothorax.comparison: same	2	0.2903
presenting with	2	0.2903
hep c.procedure:	2	0.2903
of abscess.technique:	2	0.2903
.2. no	2	0.2903
of effusions	2	0.2903
pneumothorax. the	2	0.2903
hsv infecction.	2	0.2903
pericardial effusion	2	0.2903
of his	2	0.2903
hcv. pt	2	0.2903
fevers, and	2	0.2903
left pleuraleffusions.comparison:	2	0.2903
of pneumothorax.ap	2	0.2903
right posterior	2	0.2903
/rejection.procedure: the	2	0.2903
.impression: the	2	0.2903
ptxadmitting diagnosis:	2	0.2903
of ependymoma.comparisons:	2	0.2903
.comparison: [**3411-10-13**].technique:	2	0.2903
and better	2	0.2903
silent aspiration,	2	0.2903
dose of	2	0.2903
calculi,and bladder	2	0.2903
.______________________________________________________________________________final reportindicatio	2	0.2903
pneumothorax, crepitus	2	0.2903
pneumothorax, new	2	0.2903
fluid collectionsno	2	0.2903
hcv.reason for	2	0.2903
nsc careason	2	0.2903
of ependymoma______________________________________________________________________________final	2	0.2903
acute hepatitis	2	0.2903
pneumonia********************************* cpt	2	0.2903
.(over)date: [**3411-12-19**]	2	0.2903
seizures and	2	0.2903
c diff	2	0.2903
of ependymomacontrast:	2	0.2903
of disease.2.	2	0.2903
. in	2	0.2903
le cellulitis,	2	0.2903
and lung	2	0.2903
pleural effusion\pleuroscopy/chest	2	0.2903
pneumothorax.impression: ap	2	0.2903
pneumothorax. tubes	2	0.2903
of ependyomacontrast:	2	0.2903
hcv/rejectionreason for	2	0.2903
subarachnoid hemorrhage____________________________________________________________________________	2	0.2903
lung cancer	2	0.2903
pna.______________________________________________________________________________final reportindic	1	0.1451
pneumothorax.there is	1	0.1451
. she	1	0.1451
. abdomen	1	0.1451
afib...ammioderonelow grade	1	0.1451
air leak	1	0.1451
non small	1	0.1451
pericardial and	1	0.1451
pneumonviews: single	1	0.1451
nausea, abdominal	1	0.1451
endocarditis. afebrile.a/p:pt	1	0.1451
ofyour face	1	0.1451
in-stent left	1	0.1451
left pleuraleffusion.ap	1	0.1451
with liver	1	0.1451
ofthe cancer	1	0.1451
pneumonia. in	1	0.1451
in-stent mid	1	0.1451
emesis.reason for	1	0.1451
impaction withsubsequent	1	0.1451
pneumothorax,evaluate for	1	0.1451
symptoms.- patient	1	0.1451
collapse of	1	0.1451
pneumoniaadmitting diagnosis:	1	0.1451
issues with	1	0.1451
bilat. effusions.	1	0.1451
of hepatocellular	1	0.1451
surgery may	1	0.1451
bacteria of	1	0.1451
bacteremia, intermittent	1	0.1451
. as	1	0.1451
non-bilious aspirates.	1	0.1451
pneumonia status	1	0.1451
pneumonia.video oropharyngeal	1	0.1451
of acidosis,	1	0.1451
of seizuresoccurred	1	0.1451
aspiration pna.3.	1	0.1451
hcc.no definite	1	0.1451
of disease.	1	0.1451
tachycardia with	1	0.1451
of her	1	0.1451
lt parietal	1	0.1451
pain, k	1	0.1451
nasal-ethmoid adenocarcinoma,	1	0.1451
. will	1	0.1451
arrest ordecompensation	1	0.1451
/residual tracheoesophageal	1	0.1451
dialysis schedule	1	0.1451
confusion/restlessness upon	1	0.1451
malignant pleural	1	0.1451
or worsenedclaudication	1	0.1451
hep c.	1	0.1451
with known	1	0.1451
pulmonaryedema. pneumonia	1	0.1451
hcc. his	1	0.1451
of effusions.chest,	1	0.1451
fetaldecelerations required	1	0.1451
daily, and	1	0.1451
of diarrhea.	1	0.1451
abdominalpain, and	1	0.1451
pda. no	1	0.1451
temp spikes.	1	0.1451
uti with	1	0.1451
fevers, increasing	1	0.1451
of afib,we	1	0.1451
utis- hcv:	1	0.1451
utiswith vre	1	0.1451
bacteremia (staph	1	0.1451
subarachnoidhemorrhage.technique: non-contrast	1	0.1451
effusion. micu	1	0.1451
left-sided pneumothorax	1	0.1451
20 minutes	1	0.1451
pna's, htn,	1	0.1451
rt sidedpleuritic	1	0.1451
with nauseaand	1	0.1451
pneumothoraces.comparison: [**3082-1-19**].ap	1	0.1451
pericaridal effusions	1	0.1451
bilateral pleural	1	0.1451
uti's w/	1	0.1451
pcp, [**name10	1	0.1451
infection as	1	0.1451
aspiration pneumonia.	1	0.1451
bilateralpleural effusionsreason	1	0.1451
linesepsis.procedure: this	1	0.1451
..# atrial	1	0.1451
for additional	1	0.1451
fevers, gnr	1	0.1451
.c-v: goal	1	0.1451
pulmonary edema.	1	0.1451
endocarditis. workup	1	0.1451
now with	1	0.1451
sinusitis: she	1	0.1451
neoplasm or	1	0.1451
fungal and	1	0.1451
ventriculararrhythmia s/p	1	0.1451
pna.reason for	1	0.1451
.non-contrast ct	1	0.1451
. bibasilar	1	0.1451
hep. c	1	0.1451
anemia. she	1	0.1451
deep venous	1	0.1451
ecoli uti	1	0.1451
episodeson the	1	0.1451
focal seizures	1	0.1451
of red	1	0.1451
afib with	1	0.1451
ventral hernia	1	0.1451
diffuse coronary	1	0.1451
fevers or	1	0.1451
deterioration.cardiology plans	1	0.1451
laryngospasm, bronchial	1	0.1451
pneumothorax.comparison: [**3082-1-25**].findings:	1	0.1451
and should	1	0.1451
despite cpap.	1	0.1451
.results of	1	0.1451
uti's, hep	1	0.1451
metastatic disease	1	0.1451
melanic stool.	1	0.1451
ptx. chest	1	0.1451
ofsignificant pericardial	1	0.1451
of pneumatosis	1	0.1451
kidney stones.	1	0.1451
of fever	1	0.1451
falls, blindness,	1	0.1451
pulm edema	1	0.1451
aspergillusinfection.2. ng	1	0.1451
of aspirates.	1	0.1451
seizure inthe	1	0.1451
pna.admitting diagnosis:	1	0.1451
rue cellulitis	1	0.1451
pe'scontrast: optiray	1	0.1451
opacification at	1	0.1451
reactino after	1	0.1451
.his mediastinal	1	0.1451
.conjugated bilirubin	1	0.1451
mucous plugging	1	0.1451
and these	1	0.1451
aspiration and	1	0.1451
. he	1	0.1451
. left	1	0.1451
pain. k	1	0.1451
chest pain	1	0.1451
pneumothorax status	1	0.1451
kidney/bladder stones	1	0.1451
hepatocellular ca	1	0.1451
ischemic symptoms.	1	0.1451
pnas). was	1	0.1451
line sepsis,requires	1	0.1451
headache, altered	1	0.1451
uti's and	1	0.1451
or intrathoracic	1	0.1451
and severe	1	0.1451
and might	1	0.1451
of bradycardia	1	0.1451
dose 50mg	1	0.1451
pain, hemodynamic	1	0.1451
ventral hernia,	1	0.1451
ventral hernia.	1	0.1451
pleuraleffusions. the	1	0.1451
bladderinfections.allergies: penicillin	1	0.1451
pneumothorax. there	1	0.1451
of disease______________________________________________________________________________final	1	0.1451
c-diff.nkdafull codeadmit	1	0.1451
.[**first name8	1	0.1451
syptoms of	1	0.1451
since r	1	0.1451
stricture.	1	0.1451
pna (last	1	0.1451
hemoptysis. due	1	0.1451
gastrointestinal bleeding	1	0.1451
ptx. the	1	0.1451
hemoptisis. bld	1	0.1451
chf and	1	0.1451
hcv.______________________________________________________________________________final reportstudy	1	0.1451
pneumonia; cri;	1	0.1451
cellulitisreason for	1	0.1451
hcc. likely	1	0.1451
episodes ofv-tach.	1	0.1451
chest pain,	1	0.1451
ruleout recurrent	1	0.1451
hypoglycemia.will plan	1	0.1451
and was	1	0.1451
of angina	1	0.1451
cirrhosis. post	1	0.1451
pleural effusions.	1	0.1451
syncopal events	1	0.1451
pe's______________________________________________________________________________final reportindic	1	0.1451
and small-to-moderate	1	0.1451
[**2884-8-12**];admission [**4-/2885**]	1	0.1451
bouts of	1	0.1451
pneumothorax.evaluate interval	1	0.1451
ptx, nowwith	1	0.1451
pnx. pt	1	0.1451
convulsions. i	1	0.1451
utis8) tonsillectomydischarge	1	0.1451
urges for	1	0.1451
fever. avr.when	1	0.1451
hep c	1	0.1451
fetal decelerations	1	0.1451
n/v. d/c	1	0.1451
angina.past medical	1	0.1451
afib..#. rhythm:the	1	0.1451
left parietal	1	0.1451
antiemetic dolasetron	1	0.1451
sz but	1	0.1451
of symptoms.soc:	1	0.1451
with afp	1	0.1451
fistula.comparisons: upper	1	0.1451
lasix with	1	0.1451
bleed.	1	0.1451
pneumothorax.a tracheostomy	1	0.1451
17250* prot	1	0.1451
feversreason for	1	0.1451
line sepsis	1	0.1451
pna, who	1	0.1451
ventral hernianarcolepsyagorophobiafractured	1	0.1451
mssa ventilator-associated	1	0.1451
fever, evaluation	1	0.1451
hyperkalemia.4. gastrointestinal:	1	0.1451
